"accession_update","site","sample_id","type","variant_positive","bat_age","bat_sex","bat_species","sampling_date"
"ACCLU001","Clunes",2,"beta_2d_i",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_ii",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_iii",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_iv",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_v",FALSE,"adult","male","bff",2017-08-12
"ACCLU001","Clunes",2,"beta_2d_vi",FALSE,"adult","male","bff",2017-08-12
"ACCLU002","Clunes",2,"beta_2d_i",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_ii",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_iii",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_iv",TRUE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_v",TRUE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",2,"beta_2d_vi",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_i",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_ii",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_iii",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_iv",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_v",FALSE,"juve","male","bff",2018-02-20
"ACCLU002","Clunes",3,"beta_2d_vi",FALSE,"juve","male","bff",2018-02-20
"ACCLU003","Clunes",2,"beta_2d_i",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_ii",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_iii",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_iv",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_v",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",2,"beta_2d_vi",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_i",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_ii",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_iii",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_iv",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_v",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",3,"beta_2d_vi",FALSE,"adult","female","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_i",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_ii",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_iii",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_iv",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_v",FALSE,"adult","male","bff",2018-08-03
"ACCLU003","Clunes",5,"beta_2d_vi",FALSE,"adult","male","bff",2018-08-03
"ACRED001","Redcliffe",5,"beta_2d_i",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_ii",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_iii",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_iv",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_v",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",5,"beta_2d_vi",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_i",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_v",TRUE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",6,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_i",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_ii",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_iii",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_iv",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_v",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",7,"beta_2d_vi",FALSE,"sub_adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_i",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_ii",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_iii",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_iv",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_v",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",8,"beta_2d_vi",FALSE,"adult","female","bff",2018-05-25
"ACRED001","Redcliffe",9,"beta_2d_i",FALSE,"adult","male","bff",2018-05-25
"ACRED001","Redcliffe",9,"beta_2d_ii",FALSE,"adult","male","bff",2018-05-25
